epoch,loss,val_loss
37,7.222980201,6.69266353
40,7.14009178,6.620806476
41,7.134955367,6.616073801
38,7.252135173,6.682737305
42,7.176519562,6.595584868
39,7.209150265,6.649900149
43,7.108227032,6.57541904
40,7.166846095,6.644467994
44,7.036599139,6.539597137
41,7.318225002,6.614511255
45,7.097562927,6.520818281
42,7.120141839,6.611079658
46,7.164905664,6.503978471
43,7.153798722,6.580913386
47,7.068161805,6.508457429
44,7.091409302,6.558848159
48,7.010923435,6.486158843
45,7.086081875,6.559018004
49,7.046318051,6.479179626
46,7.02726139,6.542025684
50,7.020202204,6.461280722
47,7.058490559,6.530644482
51,6.996879255,6.461800401
52,6.957812603,6.439826091
48,7.015968029,6.500827168
53,6.849778865,6.417156005
49,6.9983493,6.486288976
54,6.911472411,6.403576759
50,6.90029716,6.485708161
55,6.911801316,6.386709954
51,7.08133553,6.495915881
56,6.941270998,6.405043726
52,6.915925872,6.458718152
57,6.843125821,6.381963025
53,6.916860972,6.455371956
58,6.911579556,6.369142183
54,6.912304904,6.426911104
59,6.836380676,6.36659956
55,6.94469326,6.424637642
60,6.761391495,6.365203223
56,6.840629862,6.412351215
61,6.862211338,6.338135429
57,6.987784548,6.383654274
62,6.785925158,6.329353396
58,6.854991704,6.387594466
63,6.836023142,6.346114612
59,6.82133169,6.353799536
64,6.814345505,6.326597707
60,6.741108522,6.369246715
65,6.777724094,6.303770841
66,6.854210811,6.292966164
61,6.770960608,6.343673236
67,6.765989344,6.269603299
62,6.732486645,6.341883065
68,6.763905453,6.269354055
63,6.729220366,6.348836309
69,6.680127526,6.272445467
64,6.648412968,6.327594201
70,6.68429504,6.266448998
65,6.682911494,6.308262464
71,6.757867367,6.253546643
66,6.807575422,6.301920199
72,6.785163479,6.252384184
67,6.777726374,6.290551641
73,6.619558296,6.245761468
68,6.686704408,6.313393138
74,6.625430259,6.237207589
69,6.700932644,6.295775021
75,6.587404655,6.222734456
70,6.675306525,6.31652966
76,6.600432158,6.212219913
